"speed_main","flow_main","week","speed_ngh_432","year2011","year2012","year2013","year2014","year2015","year2016","year2017","year2018","year2019","hour7","hour8","hour9"
110.01,3191.38,33,103.91,0,0,1,0,0,0,0,0,0,0,1,0
78.47,3102.41,42,85.25,0,0,1,0,0,0,0,0,0,0,1,0
16.99,1262.14,47,103.7,0,0,1,0,0,0,0,0,0,0,1,0
49.14,3060,49,82.21,0,0,1,0,0,0,0,0,0,0,1,0
107.89,1911.11,52,100.5,0,0,1,0,0,0,0,0,0,0,1,0
46.01,3218.95,13,86.52,0,0,0,1,0,0,0,0,0,0,1,0
50.31,3220.68,15,81.53,0,0,0,1,0,0,0,0,0,0,1,0
56.76,3186,40,84.62,0,0,0,1,0,0,0,0,0,0,1,0
53.64,3137,44,77.21,0,0,0,1,0,0,0,0,0,0,1,0
67.77,3297,46,84.6,0,0,0,1,0,0,0,0,0,0,1,0
54.76,3202,47,82.32,0,0,0,1,0,0,0,0,0,0,1,0
40.12,2924,48,84.33,0,0,0,1,0,0,0,0,0,0,1,0
111.86,2079,1,105.4,0,0,0,1,0,0,0,0,0,0,1,0
104.85,3219,2,96.07,0,0,0,0,1,0,0,0,0,0,1,0
55.56,2903,3,83.83,0,0,0,0,1,0,0,0,0,0,1,0
105.19,1265,19,90.45,0,0,0,0,1,0,0,0,0,0,1,0
111.52,3444,52,105.3,0,0,0,0,1,0,0,0,0,0,1,0
115.33,3044,11,108.86,0,0,0,0,0,1,0,0,0,0,1,0
116.52,3376,30,110.99,0,0,0,0,0,1,0,0,0,0,1,0
117.02,3166,31,111.02,0,0,0,0,0,1,0,0,0,0,1,0
116.03,3134,32,109.03,0,0,0,0,0,1,0,0,0,0,1,0
114.73,3403,38,109.07,0,0,0,0,0,1,0,0,0,0,1,0
114.57,3414,18,108.52,0,0,0,0,0,0,1,0,0,0,1,0
116.3,458,52,112.42,0,0,0,0,0,0,1,0,0,0,1,0
109.14,3265,18,108.47,0,0,0,0,0,0,0,0,1,0,1,0
115.45,3210,32,111.63,0,0,0,0,0,0,0,0,1,0,1,0
114.41,3434,33,109.06,0,0,0,0,0,0,0,0,1,0,1,0
106.34,3092.5,22,97.3,0,0,0,0,0,0,0,0,0,0,0,1
108.78,2696.33,25,98.95,0,0,0,0,0,0,0,0,0,0,0,1
109.51,2857.09,27,101.13,0,0,0,0,0,0,0,0,0,0,0,1
111.17,2406.25,29,102.11,0,0,0,0,0,0,0,0,0,0,0,1
111.37,2555,34,100.47,0,0,0,0,0,0,0,0,0,0,0,1
110.25,2794,38,100.96,0,0,0,0,0,0,0,0,0,0,0,1
111.28,2678,40,99.48,0,0,0,0,0,0,0,0,0,0,0,1
102.11,3313,43,94.68,0,0,0,0,0,0,0,0,0,0,0,1
108.35,3073.22,45,98.34,0,0,0,0,0,0,0,0,0,0,0,1
111.12,2263,1,97.29,1,0,0,0,0,0,0,0,0,0,0,1
95.93,3149,3,86.81,1,0,0,0,0,0,0,0,0,0,0,1
111.11,2725,5,98.8,1,0,0,0,0,0,0,0,0,0,0,1
108.39,2712,8,99.17,1,0,0,0,0,0,0,0,0,0,0,1
105.76,3221,13,96.36,1,0,0,0,0,0,0,0,0,0,0,1
105.64,3284,15,96.11,1,0,0,0,0,0,0,0,0,0,0,1
106.54,2964,17,99.58,1,0,0,0,0,0,0,0,0,0,0,1
106.31,2816,18,100.18,1,0,0,0,0,0,0,0,0,0,0,1
106.98,3043,20,97.8,1,0,0,0,0,0,0,0,0,0,0,1
88.96,2634,21,93.34,1,0,0,0,0,0,0,0,0,0,0,1
105.3,3048,22,95.89,1,0,0,0,0,0,0,0,0,0,0,1
109.37,2675.09,28,104.83,1,0,0,0,0,0,0,0,0,0,0,1
108.74,2737.5,30,101.28,1,0,0,0,0,0,0,0,0,0,0,1
110.69,2490.55,32,104.97,1,0,0,0,0,0,0,0,0,0,0,1
109.93,2761.02,33,101.3,1,0,0,0,0,0,0,0,0,0,0,1
103.81,3020,43,96.53,1,0,0,0,0,0,0,0,0,0,0,1
107.15,2990,49,94.89,1,0,0,0,0,0,0,0,0,0,0,1
